"Copyright © 2001-2019 Python Software Foundation; All Rights Reserved"

"documentText","functionality","concept","directives","purpose","quality","control","structure","patterns","codeExamples","environment","reference","nonInformation"
"Additional online Documentation: Syntax: System.Object    System.Windows.ResourceDictionary     System.Activities.Core.Design.Themes.DesignerStylesDictionary Summary: Contains a dictionary for designer styles. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public sealed class SqlWorkflowInstanceStore : InstanceStore Summary: Derives from the abstract InstanceStore class of the persistence functionality and provides implementation to allow saving instance state information to and loading instance state information from an SQL Server 2005 or SQL Server 2008 database. Remarks: SqlWorkflowInstanceStore uses the NetDataContractSerializer to serialize complex types; all types used in workflows to be persisted with this instance store must be serializable using NetDataContractSerializer. Example: The following code sample demonstrates creating a SqlWorkflowInstanceStore. This example is from the Persistence Participants sample. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,1,0,0,1,0,0,0,1,0
"Additional online Documentation: Syntax: public TimeSpan HostLockRenewalPeriod { get; set; } Property Value Type: System.TimeSpan The time period. Summary: Specifies the time period within which the host renews its lock on a workflow service instance. Remarks: If the host does not renew the lock (in other words, extend the lease) with this in this time period, the persistence provider unlocks the instance and another host may lock the instance. The value is a TimeSpan of the form hh:mm:ss\". The minimum permitted value is \"00:00:01\" (1 sec). The default value of this property is \"00:00:30\" (30 seconds). Example: The following code sample demonstrates using HostLockRenewalPeriod in a SqlWorkflowInstanceStore. This example is from the Built-in Configuration sample.\"",1,0,0,0,0,0,0,0,1,0,0,1
"Additional online Documentation: Syntax: System.Object    System.Activities.Design.CommandInfo Summary: Describes a command on the designer, such as copy or paste. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: System.Object    System.Activities.Design.CommandValues Summary: A commanding interface that is used for integration of workflow designer actions (e.g., context menu) with custom provided implementation - i.e. property browser service, debugging service, etc. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,1,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: This class abstracts the encoding formats used in the DataObject that is passed from the drag source to the target. Summary: Represents a helper class to assist dragging and dropping inside the workflow designer. Remarks: This class abstracts the encoding formats used in the DataObject that is passed from the drag source to the target. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,1,0,0,0,0,0
"Additional online Documentation: Summary: Retrieves the source container.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public interface ISourceContainer Summary: Provides functions to copy, move, delete, and paste objects.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: JScript   void DefaultContainerLoaded( ISourceContainer container ) Parameters containerType: System.Activities.Design.ISourceContainer The default container to be loaded. Summary: Occurs when the default container is loaded.",0,0,0,0,0,1,0,0,0,0,0,0
"Additional online Documentation: Syntax: void OnWorkflowCommandLoaded( CommandInfo commandInfo ) Parameters commandInfoType: System.Activities.Design.CommandInfo The workflow command to be loaded. Summary: Provides additional functions based on the specified workflow command to be loaded.",1,0,0,0,0,0,0,0,0,0,0,0
