"Copyright © 2001-2019 Python Software Foundation; All Rights Reserved"

ID,text,functionality,concept,directives,purpose,quality,control,structure,patterns,codeExamples,environment,reference,nonInformation
1,"The built-in str and unicode classes provide the ability to do complex variable substitutions and value formatting via the str.format() method described in PEP 3101. The Formatter class in the string module allows you to create and customize your own string formatting behaviors using the same implementation as the built-in format() method.
 
 class string.Formatter
 The Formatter class has the following public methods:
 
 format(format_string, *args, **kwargs)
 The primary API method. It takes a format string and an arbitrary set of positional and keyword arguments. It is just a wrapper that calls vformat().
 
 vformat(format_string, args, kwargs)
 This function does the actual work of formatting. It is exposed as a separate function for cases where you want to pass in a predefined dictionary of arguments, rather than unpacking and repacking the dictionary as individual arguments using the *args and **kwargs syntax. vformat() does the work of breaking up the format string into character data and replacement fields",1,1,0,0,0,0,1,0,0,0,1,1
2,"re.compile(pattern, flags=0)
 Compile a regular expression pattern into a regular expression object, which can be used for matching using its match() and search() methods, described below.
 
 The expression’s behaviour can be modified by specifying a flags value. Values can be any of the following variables, combined using bitwise OR (the | operator).
 
 The sequence
 
 prog = re.compile(pattern)
 result = prog.match(string)
 is equivalent to
 
 result = re.match(pattern, string)
 but using re.compile() and saving the resulting regular expression object for reuse is more efficient when the expression will be used several times in a single program.
 
 Note The compiled versions of the most recent patterns passed to re.match(), re.search() or re.compile() are cached, so programs that use only a few regular expressions at a time needn’t worry about compiling regular expressions.",1,0,0,1,1,1,0,0,1,0,0,0
3,"class struct.Struct(format)
 Return a new Struct object which writes and reads binary data according to the format string format. Creating a Struct object once and calling its methods is more efficient than calling the struct functions with the same format since the format string only needs to be compiled once.
 
 New in version 2.5.",1,0,0,1,1,0,0,0,0,0,0,0
4,"difflib.context_diff(a, b[, fromfile][, tofile][, fromfiledate][, tofiledate][, n][, lineterm])
 Compare a and b (lists of strings); return a delta (a generator generating the delta lines) in context diff format.
 
 Context diffs are a compact way of showing just the lines that have changed plus a few lines of context. The changes are shown in a before/after style. The number of context lines is set by n which defaults to three.
 
 By default, the diff control lines (those with *** or ---) are created with a trailing newline. This is helpful so that inputs created from file.readlines() result in diffs that are suitable for use with file.writelines() since both the inputs and outputs have trailing newlines.
 
 For inputs that do not have trailing newlines, set the lineterm argument to """" so that the output will be uniformly newline free.
 
 The context diff format normally has a header for filenames and modification times. Any or all of these may be specified using strings for fromfile, tofile, fromfiledate, and tofiledate. The modification times are normally expressed in the ISO 8601 format. If not specified, the strings default to blanks.
 
 >>> s1 = ['bacon\n', 'eggs\n', 'ham\n', 'guido\n']
 >>> s2 = ['python\n', 'eggy\n', 'hamster\n', 'guido\n']
 >>> for line in context_diff(s1, s2, fromfile='before.py', tofile='after.py'):
 ... sys.stdout.write(line) 
 *** before.py
 --- after.py
 ***************
 *** 1,4 ****
 ! bacon
 ! eggs
 ! ham
  guido
 --- 1,4 ----
 ! python
 ! eggy
 ! hamster
  guido
 See A command-line interface to difflib for a more detailed example.",1,1,1,1,1,0,0,0,1,0,1,0
5,"class StringIO.StringIO([buffer])
 When a StringIO object is created, it can be initialized to an existing string by passing the string to the constructor. If no string is given, the StringIO will start empty. In both cases, the initial file position starts at zero.
 
 The StringIO object can accept either Unicode or 8-bit strings, but mixing the two may take some care. If both are used, 8-bit strings that cannot be interpreted as 7-bit ASCII (that use the 8th bit) will cause a UnicodeError to be raised when getvalue() is called.",1,0,1,0,0,0,0,0,0,0,0,0
6,"textwrap.wrap(text[, width[, ...]])
 Wraps the single paragraph in text (a string) so every line is at most width characters long. Returns a list of output lines, without final newlines.
 
 Optional keyword arguments correspond to the instance attributes of TextWrapper, documented below. width defaults to 70.
 
 See the TextWrapper.wrap() method for additional details on how wrap() behaves.",1,0,0,0,0,0,1,0,0,0,0,0
7,"codecs.getencoder(encoding)
 Look up the codec for the given encoding and return its encoder function.
 
 Raises a LookupError in case the encoding cannot be found.",1,0,0,0,0,0,0,0,0,0,0,0
8,"unicodedata.normalize(form, unistr)
 Return the normal form form for the Unicode string unistr. Valid values for form are ‘NFC’, ‘NFKC’, ‘NFD’, and ‘NFKD’.
 
 The Unicode standard defines various normalization forms of a Unicode string, based on the definition of canonical equivalence and compatibility equivalence. In Unicode, several characters can be expressed in various way. For example, the character U+00C7 (LATIN CAPITAL LETTER C WITH CEDILLA) can also be expressed as the sequence U+0043 (LATIN CAPITAL LETTER C) U+0327 (COMBINING CEDILLA).
 
 For each character, there are two normal forms: normal form C and normal form D. Normal form D (NFD) is also known as canonical decomposition, and translates each character into its decomposed form. Normal form C (NFC) first applies a canonical decomposition, then composes pre-combined characters again.
 
 In addition to these two forms, there are two additional normal forms based on compatibility equivalence. In Unicode, certain characters are supported which normally would be unified with other characters. For example, U+2160 (ROMAN NUMERAL ONE) is really the same thing as U+0049 (LATIN CAPITAL LETTER I). However, it is supported in Unicode for compatibility with existing character sets (e.g. gb2312).
 
 The normal form KD (NFKD) will apply the compatibility decomposition, i.e. replace all compatibility characters with their equivalents. The normal form KC (NFKC) first applies the compatibility decomposition, followed by the canonical composition.
 
 Even if two unicode strings are normalized and look the same to a human reader, if one has combining characters and the other doesn’t, they may not compare equal.
 
 New in version 2.3.",1,1,1,1,0,0,0,0,0,0,0,1
9,"When identifying things (such as host names) in the internet, it is often necessary to compare such identifications for “equality”. Exactly how this comparison is executed may depend on the application domain, e.g. whether it should be case-insensitive or not. It may be also necessary to restrict the possible identifications, to allow only identifications consisting of “printable” characters.
 
 RFC 3454 defines a procedure for “preparing” Unicode strings in internet protocols. Before passing strings onto the wire, they are processed with the preparation procedure, after which they have a certain normalized form. The RFC defines a set of tables, which can be combined into profiles. Each profile must define which tables it uses, and what other optional parts of the stringprep procedure are part of the profile. One example of a stringprep profile is nameprep, which is used for internationalized domain names.
 
 The module stringprep only exposes the tables from RFC 3454. As these tables would be very large to represent them as dictionaries or lists, the module uses the Unicode character database internally. The module source code itself was generated using the mkstringprep.py utility.
 
 As a result, these tables are exposed as functions, not as data structures. There are two kinds of tables in the RFC: sets and mappings. For a set, stringprep provides the “characteristic function”, i.e. a function that returns true if the parameter is part of the set. For mappings, it provides the mapping function: given the key, it returns the associated value. Below is a list of all functions available in the modul",0,1,0,1,0,1,1,0,0,1,1,0
10,"date.ctime()¶
 Return a string representing the date, for example date(2002, 12, 4).ctime() == 'Wed Dec 4 00:00:00 2002'. d.ctime() is equivalent to time.ctime(time.mktime(d.timetuple())) on platforms where the native C ctime() function (which time.ctime() invokes, but which date.ctime() does not invoke) conforms to the C standard.",1,0,0,0,0,0,0,0,1,1,1,0
